constructorResultsId,raceId,constructorId,points,status
16450,1074,6,44.0,\N
16451,1074,131,27.0,\N
16452,1074,210,10.0,\N
16453,1074,51,9.0,\N
16454,1074,214,8.0,\N
16455,1074,213,4.0,\N
16456,1074,117,0.0,\N
16457,1074,3,0.0,\N
16458,1074,1,0.0,\N
16459,1074,9,0.0,\N
16460,1075,9,37.0,\N
16461,1075,6,34.0,\N
16462,1075,131,11.0,\N
16463,1075,214,8.0,\N
16464,1075,1,6.0,\N
16465,1075,213,4.0,\N
16466,1075,210,2.0,\N
16467,1075,51,0.0,\N
16468,1075,117,0.0,\N
16469,1075,3,0.0,\N
16470,1076,6,26.0,\N
16471,1076,9,18.0,\N
16472,1076,131,27.0,\N
16473,1076,1,18.0,\N
16474,1076,214,6.0,\N
16475,1076,51,4.0,\N
16476,1076,213,2.0,\N
16477,1076,3,1.0,\N
16478,1076,117,0.0,\N
16479,1076,210,0.0,\N
16480,1077,9,58.0,\N
16481,1077,1,22.0,\N
16482,1077,131,12.0,\N
16483,1077,51,12.0,\N
16484,1077,6,20.0,\N
16485,1077,213,6.0,\N
16486,1077,117,5.0,\N
16487,1077,210,3.0,\N
16488,1077,3,0.0,\N
16489,1077,214,0.0,\N
16490,1078,9,38.0,\N
16491,1078,6,33.0,\N
16492,1078,131,18.0,\N
16493,1078,51,6.0,\N
16494,1078,214,4.0,\N
16495,1078,3,2.0,\N
16496,1078,117,1.0,\N
16497,1078,213,0.0,\N
16498,1078,1,0.0,\N
16499,1078,210,0.0,\N
16500,1079,9,44.0,\N
16501,1079,131,25.0,\N
16502,1079,6,12.0,\N
16503,1079,51,8.0,\N
16504,1079,214,8.0,\N
16505,1079,1,4.0,\N
16506,1079,213,1.0,\N
16507,1079,117,0.0,\N
16508,1079,210,0.0,\N
16509,1079,3,0.0,\N
16510,1080,9,40.0,\N
16511,1080,6,30.0,\N
16512,1080,131,14.0,\N
16513,1080,1,9.0,\N
16514,1080,214,6.0,\N
16515,1080,51,2.0,\N
16516,1080,117,1.0,\N
16517,1080,213,0.0,\N
16518,1080,3,0.0,\N
