raceId,driverId,stop,lap,time,duration,milliseconds
1074,1,1,11,18:21:54,25.201,25201
1074,4,1,11,18:22:10,25.365,25365
1074,854,1,12,18:24:08,25.214,25214
1074,848,1,13,18:25:47,24.874,24874
1074,830,1,14,18:26:43,24.897,24897
1074,832,1,14,18:26:50,24.666,24666
1074,825,1,14,18:27:07,25.478,25478
1074,842,1,14,18:27:08,24.575,24575
1074,839,1,14,18:27:11,30.484,30484
1074,822,1,14,18:27:19,25.893,25893
1074,849,1,14,18:27:38,24.457,24457
1074,844,1,15,18:28:19,25.012,25012
1074,815,1,15,18:28:32,25.046,25046
1074,847,1,15,18:28:38,25.888,25888
1074,852,1,15,18:28:57,26.095,26095
1074,855,1,15,18:29:03,25.428,25428
1074,817,1,17,18:32:46,24.915,24915
1074,840,1,18,18:34:18,25.739,25739
1074,807,1,19,18:36:11,27.365,27365
1074,846,1,24,18:44:41,24.568,24568
1074,4,2,25,18:45:53,24.909,24909
1074,1,2,27,18:48:44,25.796,25796
1074,852,2,29,18:52:37,24.350,24350
1074,830,2,30,18:53:16,24.937,24937
1074,839,2,30,18:54:12,25.393,25393
1074,844,2,31,18:54:52,24.527,24527
1074,842,2,32,18:57:23,25.875,25875
1074,849,2,32,18:58:19,24.778,24778
1074,832,2,33,18:58:21,24.438,24438
1074,815,2,33,18:58:23,24.173,24173
1074,847,2,33,18:58:45,25.334,25334
1074,817,2,33,18:59:53,24.885,24885
1074,825,2,34,19:00:39,25.876,25876
1074,854,2,35,19:02:58,25.586,25586
1074,848,2,35,19:03:09,25.570,25570
1074,822,2,36,19:04:16,25.156,25156
1074,855,2,37,19:06:00,25.291,25291
1074,807,2,37,19:06:47,26.712,26712
1074,840,2,38,19:08:04,26.957,26957
1074,846,2,41,19:13:23,27.367,27367
1074,4,3,42,19:14:26,24.508,24508
1074,830,3,43,19:14:40,24.402,24402
1074,815,3,43,19:14:56,24.947,24947
1074,839,3,43,19:15:58,24.233,24233
1074,832,3,44,19:16:30,24.287,24287
1074,1,3,44,19:16:52,25.579,25579
1074,852,3,44,19:17:39,24.188,24188
1074,817,3,44,19:18:41,25.139,25139
1074,847,3,45,19:18:53,25.574,25574
1074,807,3,44,19:18:58,25.748,25748
1074,822,3,45,19:19:39,25.188,25188
1074,855,3,45,19:19:45,28.647,28647
1074,844,3,46,19:19:53,24.613,24613
1074,840,3,45,19:20:32,25.039,25039
