year,team_id,team_name,total_spends
2022,1,Williams,20041684
2022,2,Red Bull,81250000
2022,3,Mercedes,65000000
2022,4,Mc Laren,55466684
2022,5,Ferrari,83416684
2022,6,Aston Martin,34400000
2022,7,Stake F1 Team Kick Sauber,21250017
2022,8,Visa Cash App RB F1 Team,23291684
2022,9,Haas F1 Team,18978316
2022,10,Alpine,33915000
2023,1,Williams,26470267
2023,2,Red Bull,90036500
2023,3,Mercedes,72006200
2023,4,Mc Laren,65126018
2023,5,Ferrari,88906517
2023,6,Aston Martin,41779654
2023,7,Stake F1 Team Kick Sauber,28380017
2023,8,Visa Cash App RB F1 Team,29605767
2023,9,Haas F1 Team,25639733
2023,10,Alpine,41329000
